"id","title","area","region","extended","lon","lat"
1513039,"Ковыльное","Новотроїцький район","Херсонська область","Ковыльное Новотроїцький район",34.1501069,46.4945691
1512780,"Константиновка","Великолепетиський район","Херсонська область","Константиновка Великолепетиський район",34.1167119,47.1495298
1512919,"Константиновка","Горностаївський район","Херсонська область","Константиновка Горностаївський район",33.8660109,46.8283895
1512968,"Коробки","Каховський район","Херсонська область","Коробки Каховський район",33.4898879,46.7343826
1513004,"Корсунка","Нова Каховка город","Херсонська область","Корсунка Нова Каховка город",33.1910363,46.7592626
1512721,"Костирка","Бериславський район","Херсонська область","Костирка Бериславський район",33.4684281,46.9823362
1512969,"Костогризово","Каховський район","Херсонська область","Костогризово Каховський район",33.5868837,46.5626615
1513093,"Костогризово","Олешківський / Цюрупинський район","Херсонська область","Костогризово Олешківський / Цюрупинський район",32.8594324,46.5064116
1512829,"Кочубеевка","Високопільський район","Херсонська область","Кочубеевка Високопільський район",33.2116627,47.4980826
1513059,"Красное","Скадовський район","Херсонська область","Красное Скадовський район",32.7635927,46.1301914
1512796,"Краснолюбецкое","Великоолександрівський район","Херсонська область","Краснолюбецкое Великоолександрівський район",33.2617003,47.1840833
1513094,"Кринки","Олешківський / Цюрупинський район","Херсонська область","Кринки Олешківський / Цюрупинський район",33.0999807,46.740177
1512723,"Львово","Бериславський район","Херсонська область","Львово Бериславський район",33.151755,46.7924083
1512931,"Любимовка","Іванівський район","Херсонська область","Любимовка Іванівський район",34.5247464,46.5558866
1512971,"Любимовка","Каховський район","Херсонська область","Любимовка Каховський район",33.5698471,46.8071439
1513017,"Любимовка","Нововоронцовський район","Херсонська область","Любимовка Нововоронцовський район",33.7147606,47.393006
1513117,"Магдалиновка","Чаплинський район","Херсонська область","Магдалиновка Чаплинський район",33.4612372,46.494702
1512947,"Макаровка","Каланчацький район","Херсонська область","Макаровка Каланчацький район",33.5301013,46.2375247
1512724,"Максима Горького","Бериславський район","Херсонська область","Максима Горького Бериславський район",33.3118433,47.078848
1512897,"Малая Кардашинка","Голопристанський район","Херсонська область","Малая Кардашинка Голопристанський район",32.5843327,46.5059987
1512830,"Малая Шестерня","Високопільський район","Херсонська область","Малая Шестерня Високопільський район",33.5521075,47.5545019
1512972,"Малокаховка","Каховський район","Херсонська область","Малокаховка Каховський район",33.4501028,46.7814587
1512898,"Малые Копани","Голопристанський район","Херсонська область","Малые Копани Голопристанський район",32.712191,46.435573
1512920,"Маринское","Горностаївський район","Херсонська область","Маринское Горностаївський район",33.8773718,46.9940161
